query_id,query_text,language
Q001,leather handbag for women,en
Q002,cadeau en cuir pour femme,fr
Q003,woven basket Rwanda,en
Q004,panier tresse traditionnel,fr
Q005,leather boots handmade,en
Q006,silver jewellery necklace,en
Q007,sac en cuir noir,fr
Q008,wooden home decor,en
Q009,beaded bracelet colourful,en
Q010,imigongo wall art,en
Q011,leather wallet slim,en
Q012,sisal floor mat,en
Q013,bijoux perles fait main,fr
Q014,leather sandals open toe,en
Q015,corbeille sisal Rwanda,fr
Q016,copper bracelet handmade,en
Q017,laptop bag leather,en
Q018,sac ordinateur portable cuir,fr
Q019,banana leaf basket eco,en
Q020,agaseke peace basket,en
